​​na,না,না—,,,
naah,না,,,,
kore,করে,করি,,,
theke,থেকে,ঠেকে,থেকে ,,
ai,এই,ই,আই,,
ei,এই,,,,
eyi,এই,,,,
ea,এ,,,,
a,এ, এ,,,
e,এ,ই,,,
ou',ও,,,,
o,ও,অ,ও ,,
hoi,হয়,হয়ে,হই,,
hoye,হয়,হয়ে,,,
aik,এক,,,,
ek,এক,,,,
ak,এক,,,,
nie,নিয়ে,নিই,,,
niye,নিয়ে,,,,
oi,ওই,ঐ,,,
oyi,ওই,,,,
hoiche,হয়েছে,,,,
hoyeche,হয়েছে,হয়েছে৷,হয়েছে,,
hoache,হয়েছে,,,,
kintu,কিন্তু, কিন্তু,,,
hove,হবে,,,,
hobe,হবে,হওয়ায়,হইবে,হবে—,হবে৷
kora,করা,কড়া,কড়া,করা—,
songe,সঙ্গে,,,,
shonge,সঙ্গে,সঙ্গেও,,,
sei,সেই,,,,
shei,সেই,,,,
deen,দিন,,,,
din,দিন,দিন ,,,
ar,আর,এর,,,
aar,আর,,,,
jei,যে,যেই,,,
je,যে,জে,যে ,,
teeni,তিনি,,,,
tini,তিনি,তিনি ,,,
tar,তাঁর,তার,টার,,
tanr,তাঁর,,,,
bole,বলে,,,,
ta,তা,টা,,,
taa,তা,টা,তাহা,,
jonno,জন্য,,,,
konou,কোনও,কোন,কোনও,,
kono,কোনও,কোন,,,
konu,কোনও,,,,
taar,তার,তাহার,,,
volen,বলেন,,,,
bolen,বলেন,বললেন,বলেন—,,
hoe,হয়ে,,,,
ewong,এবং,,,,
abong,এবং,,,,
ebong,এবং,এবং ,,,
poolis,পুলিশ,,,,
police,পুলিশ,,,,
korte,করতে,কোর্টে,,,
krte,করতে,,,,
ovijog,অভিযোগ,অভিযোগে,অভিযোগ,অভিয়োগ,
obijog,অভিযোগ,,,,
obhijog,অভিযোগ,অভিযোগ,অভিয়োগ,,
kotha,কথা,কোথা,কথা—,,
katha,কথা,কাঠা,কথা—,,
akti,একটি,,,,
ekti,একটি,,,,
chilo,ছিল,,,,
chhilo,ছিল,,,,
sob,সব,,,,
sov,সব,,,,
shob,সব,,,,
suru,শুরু,,,,
shuru,শুরু,,,,
dabi,দাবি,দাবি—,দাবি:,,
davi,দাবি,,,,
pore,পরে,পড়ে,পড়ে,পরে ,প়ড়ে
pode,পরে,পড়ে,পদে,,
jai,যায়,যায়—,,,
jaye,যায়,,,,
jay,যায়,জয়,যায়,,
aer,এর,,,,
er,এর,,,,
modhye,মধ্যে,মধ্যেও,,,
moddhe,মধ্যে,,,,
tobe,তবে, তবে,তবে ,,
tove,তবে,,,,
se,সে,শে,,,
she,সে,,,,
taaka,টাকা,,,,
taka,টাকা,,,,
deoa,দেওয়া,দেওয়া—,,,
deowa,দেওয়া,দেওয়ায়,,,
pr,পর,প্র:,,,
por,পর,পোড়,,,
bhabe,ভাবে,,,,
bhave,ভাবে,,,,
kichhu,কিছু,,,,
kichu,কিছু,,,,
die,দিয়ে,দিই,,,
dia,দিয়ে,,,,
diye,দিয়ে,,,,
hoche,হচ্ছে,,,,
hochhe,হচ্ছে,,,,
koren,করেন,করেন—,,,
kren,করেন,,,,
bar,বার,,,,
baar,বার,,,,
vaar,বার,,,,
royeche,রয়েছে,রয়েছে—,,,
roichhe,রয়েছে,,,,
roiche,রয়েছে,,,,
ba,বা,বাঁ,,,
bah,বা,,,,
wa,বা,,,,
va,বা,,,,
aage,আগে,,,,
age,আগে,,,,
ki,কী,কি,,,
kii,কী,কি,,,
ke,কী,কে,,,
kaj,কাজ,,,,
kaz,কাজ,,,,
kaaj,কাজ,,,,
arou,আরও,,,,
aaro,আরও,আরো,,,
aro,আরও,আরো,,,
neyi,নেই,,,,
nei,নেই,নেই—,,,
nai,নেই,নাই,নেই—,,
noi,নয়,নই,নয়ই,,
noye,নয়,নই,,,
noy,নয়,,,,
kache,কাছে,কাকে,কাঁচি,,
kachhe,কাছে,,,,
giyeche,গিয়েছে,,,,
geyeche,গিয়েছে,,,,
giyechhe,গিয়েছে,,,,
tander,তাঁদের,,,,
tder,তাঁদের,,,,
tader,তাঁদের,তাদের,,,
to,তো,তো,টু,টো,
tou,তো,তো,,,
janaan,জানান,,,,
janan,জানান,জানান—,,,
gelo,জেলা,গেল,,,
geylo,জেলা,গেল,,,
somoy,সময়,সময়,,,
somai,সময়,,,,
shomaye,সময়,সময়ের,সময়েই,,
bochhor,বছর,,,,
bochor,বছর,,,,
taai,তাই,,,,
tai,তাই,তে,টায়,তায়,তাই 
holo,হল,হলো,হোল,,
kar,করার,কর,,,
korar,করার,,,,
gato,গত,,,,
goto,গত, গত,,,
ekhun,এখন,,,,
ekhon,এখন,,,,
akhon,এখন,,,,
moton,মতো,মতন,,,
moto,মতো,মতো,,,
dekha,দেখা,,,,
daikha,দেখা,,,,
daleir,দলের,,,,
daler,দলের,ডালের,,,
doler,দলের,ডলার,,,
khobor,খবর,খবর:,,,
khovor,খবর,,,,
khobr,খবর,,,,
toiri,তৈরি,,,,
toyri,তৈরি,,,,
hole,হলে,,,,
akta,একটা,,,,
aikta,একটা,,,,
ekta,একটা,,,,
tara,তাঁরা,তারা,তাড়া,,
taara,তাঁরা,তারা,তাড়া,,
birudhe,বিরুদ্ধে,,,,
viruddhe,বিরুদ্ধে,,,,
ditae,দিতে,দিতেই,,,
dite,দিতে,,,,
pare,পারে,পেরে,পাড়ে,পাড়ে,
pade,পারে,পদে,,,
jan,জন,যান,,,
jon,জন,জোন,,,
vashi,বেশি,,,,
bashi,বেশি,বাঁশি,,,
amara,আমরা,,,,
amra,আমরা,,,,
amar,আমার,,,,
amaar,আমার,,,,
praye,প্রায়,,,,
prai,প্রায়,প্রায়ই,,,
paray,প্রায়,পারায়,,,
amader,আমাদের,,,,
dike,দিকে,,,,
nuton,নতুন,,,,
notun,নতুন,নূতন,,,
mone,মনে,,,,
trinomul,তৃণমূল,,,,
trinomool,তৃণমূল,,,,
onaik,অনেক,,,,
aonek,অনেক,,,,
onek,অনেক,,,,
aami,আমি,,,,
ami,আমি,,,,
des,শেষ,দেশ,,,
desh,শেষ,দেশ,,,
prthom,প্রথম,,,,
prothom,প্রথম,,,,
hoyecilo,হয়েছিল,,,,
hoichilo,হয়েছিল,,,,
hoyechilo,হয়েছিল,,,,
onno,অন্য,অন্ন,,,
onne,অন্য,,,,
dore,ধরে,দূরে,দরে,দোরে,
dhore,ধরে,,,,
dui,দুই,,,,
dooi,দুই,,,,
korechen,করেছেন,করছেন,,,
korechhen,করেছেন,,,,
vibhinno,বিভিন্ন,,,,
bibhinno,বিভিন্ন,,,,
bivinno,বিভিন্ন,,,,
giye,গিয়ে,,,,
geye,গিয়ে,গেয়ে,,,
ti,টি,,,,
tee,টি,টিই,,,
emon,এমন,,,,
amon,এমন,আমন,,,
projonto,পর্যন্ত,,,,
porjonto,পর্যন্ত,,,,
elakaye,এলাকায়,,,,
ilakaye,এলাকায়,,,,
elakay,এলাকায়,এলাকাই,,,
bhalo,ভাল,,,,
valo,ভাল,ভালো,,,
vhalo,ভাল,,,,
chhilen,ছিলেন,,,,
chilen,ছিলেন,,,,
korechhe,করেছে,,,,
koreche,করেছে,করছে,,,
taake,তাঁকে,,,,
take,তাঁকে,তাকে,,,
tin,তিন,,,,
teen,তিন,,,,
tein,তিন,,,,
keuo,কেউ,,,,
keo,কেউ,কেও,,,
keu,কেউ,কেও,,,
rajyo,রাজ্য,,,,
rajjo,রাজ্য,,,,
poolisher,পুলিশের,,,,
pulisher,পুলিশের,,,,
taader,তাদের,,,,
hoyni,হয়নি,,,,
hoini,হয়নি,,,,
hoyeni,হয়নি,,,,
ovoshyo,অবশ্য,,,,
oboshyo,অবশ্য,,,,
obossho,অবশ্য,,,,
r,র,ঘৃণা,রাজমিস্ত্রি,,
ro,র,,,,
keno,কেন,,,,
kaino,কেন,,,,
nam,নাম,,,,
num,নাম,,,,
naam,নাম,,,,
aavar,আবার,,,,
avar,আবার,,,,
abar,আবার,,,,
aabar,আবার,,,,
aachhe,আছে,,,,
aache,আছে,,,,
ache,আছে,,,,
shoho,সহ,,,,
soho,সহ,,,,
shaho,সহ,,,,
hote,হতে,,,,
sthanio,স্থানীয়,স্থানীয়দের,,,
sthaniyo,স্থানীয়,,,,
esthanio,স্থানীয়,,,,
koek,কয়েক,,,,
koyek,কয়েক,,,,
koik,কয়েক,,,,
thekeyi,থেকেই,,,,
thekei,থেকেই,,,,
hathe,হাতে,,,,
haate,হাতে,,,,
hate,হাতে,হাটে,,,
shekhane,সেখানে,,,,
sekhane,সেখানে,,,,
trinomuler,তৃণমূলের,,,,
trinomooler,তৃণমূলের,,,,
boro,বড়,বড়,বোরো,বরো,
bodo,বড়,বড়,,,
sarkar,সরকার,সরকারে,,,
sorkar,সরকার,,,,
shorkar,সরকার,,,,
ekhuno,এখনও,,,,
akhonou,এখনও,,,,
aikhuno,এখনও,,,,
ekhunou,এখনও,,,,
fale,ফলে,,,,
phole,ফলে,,,,
fole,ফলে,,,,
aaj,আজ,,,,
aj,আজ,,,,
byabosta,ব্যবস্থা,,,,
vyavosha,ব্যবস্থা,,,,
bebostha,ব্যবস্থা,,,,
theek,ঠিক,,,,
thik,ঠিক,,,,
den,দেন,,,,
tik,দেন,,,,
jana,জানা,,,,
jaana,জানা,,,,
dewar,দেওয়ার,,,,
deoar,দেওয়ার,দেওয়ায়,,,
debar,দেওয়ার,দেবার,,,
shudhu,শুধু,,,,
shudu,শুধু,,,,
sudu,শুধু,,,,
besh,বেশ,বেছে,,,
vesh,বেশ,,,,
elakar,এলাকার,,,,
ilakar,এলাকার,,,,
aelakar,এলাকার,,,,
jabe,যাবে,,,,
jave,যাবে,,,,
toole,তুলে,,,,
tule,তুলে,,,,
hazar,হাজার,,,,
hajar,হাজার,হাজরা,,,
tokon,তখন,,,,
tokhon,তখন,,,,
shobhapoti,সভাপতি,,,,
sovapoti,সভাপতি,সভাধিপতি,,,
sobhapoti,সভাপতি,,,,
chole,চলে,,,,
bondo,বন্ধ,বোধ,,,
bondho,বন্ধ,বন্‌ধ,,,
bandho,বন্ধ,,,,
nijer,নিজের,,,,
nizer,নিজের,,,,
za,যা,,,,
ya,যা,য়,,,
ja,যা,য়,জাঁ,,
dekhe,দেখে,,,,
kongres,কংগ্রেস,,,,
congress,কংগ্রেস,কংগ্রেসকে,,,
sutre,সূত্রে,সুত্রে,,,
shutre,সূত্রে,,,,
kothaye,কথায়,,,,
kothay,কথায়,কোথায়,,,
shamne,সামনে,,,,
samne,সামনে,সমানে,,,
-,থাকে,—,,,
thake,থাকে,থাকি,,,
karon,কারণ,,,,
karan,কারণ,করণ,,,
dal,দল,ডাল,,,
dol,দল,দোল,,,
korchhen,করছেন,,,,
jal,জল,জাল,,,
jol,জল,,,,
shorkari,সরকারি,,,,
sarkari,সরকারি,,,,
sorkari,সরকারি,,,,
proshno,প্রশ্ন,,,,
prshonno,প্রশ্ন,,,,
ese,এসে,,,,
eshe,এসে,,,,
dinaer,দিনের,,,,
diner,দিনের,,,,
shomosa,সমস্যা,,,,
somossha,সমস্যা,,,,
shomosha,সমস্যা,,,,
hobar,হওয়ার,,,,
howar,হওয়ার,,,,
hoar,হওয়ার,,,,
manush,মানুষ,,,,
manus,মানুষ,,,,
jaan,যান,,,,
zan,যান,,,,
chesta,চেষ্টা,টেস্ট,,,
cheshta,চেষ্টা,,,,
haspaatale,হাসপাতালে,,,,
haspatale,হাসপাতালে,,,,
neita,নেতা,,,,
neta,নেতা,,,,
khoob,খুব,,,,
khub,খুব,,,,
bari,বাড়ি,বাড়ি,বারি,,
baari,বাড়ি,,,,
neowa,নেওয়া,,,,
neoya,নেওয়া,,,,
fer,ফের,,,,
faer,ফের,,,,
janiyechen,জানিয়েছেন,,,,
janiachen,জানিয়েছেন,,,,
janiechhen,জানিয়েছেন,,,,
ekie,একই,,,,
aiki,একই,,,,
ekoi,একই,,,,
diechhen,দিয়েছেন,,,,
diyeichen,দিয়েছেন,,,,
diyechen,দিয়েছেন,,,,
tatae,তাতে,,,,
tate,তাতে,,,,
thakha,থাকা,,,,
thaka,থাকা,,,,
ghotona,ঘটনা,ঘটনায়,ঘটানো,,
ghotouna,ঘটনা,,,,
nana,নানা,,,,
nanaa,নানা,,,,
ratae,রাতে,,,,
rate,রাতে,রেট,,,
rajjaer,রাজ্যের,,,,
rajjer,রাজ্যের,,,,
rajjyer,রাজ্যের,,,,
namei,নামে,নামেই,,,
namea,নামে,,,,
name,নামে,,,,
upour,উপর,,,,
upor,উপর,ওপর,উপুড়,,
zodi,যদি,,,,
jodi,যদি,,,,
koraiche,করছে,,,,
hiseib,হিসেবে,,,,
hisheb,হিসেবে,,,,
hiseb,হিসেবে,,,,
acche,যাচ্ছে,,,,
achhe,যাচ্ছে,,,,
eto,এত,এতো,,,
ato,এত,,,,
atto,এত,,,,
chhobi,ছবি,ছবি:,,,
chovi,ছবি,ছবি:,,,
chobi,ছবি,,,,
bhote,ভোট,ভয়ে,,,
vote,ভোট,ভয়ে,ভোট,,
bijepi,বিজেপি,,,,
bijeipi,বিজেপি,,,,
bjp,বিজেপি,,,,
zetoe,যেতে,,,,
zeto,যেতে,যেত,,,
jeto,যেতে,যেত,,,
bolechein,বলছেন,,,,
bolechhen,বলছেন,বলেছেন,,,
bolechen,বলছেন,বলেছেন,,,
bochore,বছরের,বছরে,,,
bochoure,বছরের,,,,
bochhore,বছরের,বছরে,বছরই,,
deye,দেয়,,,,
dey,দেয়,দে,,,
deey,দেয়,,,,
dophtore,দফতরের,দফতরে,,,
doftore,দফতরের,দফতরে,,,
choleche,চলছে,,,,
coleche,চলছে,,,,
khetre,ক্ষেত্রে,,,,
khaitre,ক্ষেত্রে,,,,
char,চার,ছাড়,,,
charh,চার,,,,
prodhan,প্রধান,,,,
prodhaan,প্রধান,,,,
sohore,শহরের,শহরে,,,
shohore,শহরের,শহরে,,,
jawar,যাওয়ার,,,,
zaoyar,যাওয়ার,,,,
jaoar,যাওয়ার,যাওয়ায়,,,
gereftar,গ্রেফতার,,,,
greftar,গ্রেফতার,গ্রেফতারের,,,
gireftaar,গ্রেফতার,,,,
dooti,দুটি,,,,
duti,দুটি,ডিউটি,দুইটি,,
shomoye,সময়ে,,,,
somaye,সময়ে,,,,
somoye,সময়ে,সময়ের,,,
kolkata,কলকাতা,,,,
sheta,সেটা,,,,
seta,সেটা,,,,
shorkarer,সরকারের,,,,
sorkarer,সরকারের,সরকারেরও,,,
sarkarer,সরকারের,সরকারেরও,,,
jailar,জেলার,,,,
jelar,জেলার,,,,
jelaar,জেলার,জেলায়,,,
siddhanto,সিদ্ধান্ত,,,,
shidhanto,সিদ্ধান্ত,,,,
sidahantto,সিদ্ধান্ত,,,,
bashanda,বাসিন্দা,,,,
basinda,বাসিন্দা,,,,
vola,বলা,ভোলা,,,
boula,বলা,,,,
bola,বলা,,,,
k,কে,,,,
kae,কে,,,,
ghotonar,ঘটনার,ঘটনায়,,,
